t,q1,q2
95,5.73030769753189,8.49573766611361
96,5.8068192651763,8.5621132801308
97,5.88158384177065,8.62605067518005
98,5.95457219250824,8.68760655522187
99,6.02576023233321,8.74683950327655
100,6.09512885455882,8.80380962023591
101,6.16266380745664,8.85857818702158
102,6.22835562578106,8.91120735031763
103,6.29219961441581,8.9617598318047
104,6.3541958685481,9.01029866060152
105,6.41434930134826,9.05688692843016
106,6.47266963820351,9.10158756686449
107,6.52917133077015,9.14446314589266
108,6.58387334907702,9.18557569292132
109,6.63679882738422,9.22498653127224
110,6.68797456576914,9.26275613716322
111,6.73742325927744,9.29894401412865
112,6.78533820792799,9.33360858381226
113,6.83188605904999,9.36680709205804
114,6.87704937738574,9.39859552923055
115,6.92083668031444,9.42902856371046
116,6.96326393946552,9.4581594875364
117,7.00434827598341,9.486040173194
118,7.04410851306944,9.51272104059072
119,7.08256544223738,9.53825103329507
120,7.11974134529284,9.56267760316354
121,7.15565957325805,9.58604670252424
122,7.19034423791153,9.60840278313392
123,7.22382001739073,9.62978880117341
124,7.25611205799253,9.65024622759413
125,7.2872459244978,9.66981506317618
126,7.31724758245196,9.68853385770479
127,7.34614341036002,9.70643973271733
128,7.37396023561538,9.72356840731669
129,7.40072538305271,9.73995422658841
130,7.42646672074671,9.75563019219932
131,7.45121268551665,9.77062799479275
132,7.47499227227926,9.78497804783193
133,7.49783497529047,9.79870952257556
134,7.51977067540493,9.81185038390262
135,7.54082947660469,9.82442742673107
136,7.56104150402094,9.83646631280431
137,7.5804366812197,9.84799160764288
138,7.59909625386492,9.85902681748323
139,7.61714372206887,9.86959442604658
140,7.63462989135159,9.8797159310009
141,7.65154762739966,9.88941187999642
142,7.66790800539516,9.89870190617256
143,7.68372534471108,9.90760476304824
144,7.69901224255712,9.91613835872165
145,7.71378025833785,9.92431978931775
146,7.72804074893058,9.9321653716326
147,7.74180522866468,9.93969067493417
148,7.75508522952445,9.94691055188724
149,7.767892187106,9.95383916857891
150,7.7802373881069,9.96049003362783
151,7.79213197858911,9.96687602636647
152,7.80358703683378,9.97300942409164
153,7.81461367015833,9.97890192838273
154,7.82522310597924,9.98456469049198
155,7.8354267668673,9.99000833581441
156,7.84523632233667,9.99524298744858
157,7.85466371098206,10.000278288861
158,7.86372112900531,10.0051234256711
159,7.87242098484169,10.009787146574
160,7.8807758238949,10.0142777834206
161,7.8887982317217,10.0186032704754
162,7.89650072614524,10.0227711628748
163,7.90389564822484,10.0267886543074
164,7.9110006818861,10.0306625939398
165,7.91790218202866,10.034399502599
166,7.92466350919318,10.038005588273
167,7.93126811818174,10.0414867609284
168,7.93770624067666,10.044848646643
169,7.94397819431267,10.0480966011159
170,7.95008558337885,10.0512357225652
171,7.95602907668744,10.0542708640367
172,7.9618087020537,10.057206645147
173,7.96742445295058,10.060047463283
174,7.97287671640944,10.0627975042797
175,7.97816621003526,10.0654607525977
176,7.98329392147215,10.0680410010216
177,7.98826108799737,10.0705418598996
178,7.99306920439051,10.072966765943
179,7.99772005822653,10.0753189906068
180,8.002215785438,10.0776016480678
181,8.0065589133147,10.0798177028192
182,8.01075237698086,10.0819699768992
183,8.01479950900007,10.0840611567688
184,8.01870400405963,10.0860937998573
185,8.0224698627294,10.0880703407887
186,8.02610132001164,10.0899930973047
187,8.02960276540942,10.0918642758992
188,8.03297866145767,10.0936859771774
189,8.0362334673079,10.0954602009518
190,8.03937601324615,10.0971888510904
191,8.04246689770181,10.0988737401257
192,8.04554931609238,10.1005165936387
193,8.04860631075215,10.1021190544286
194,8.05162546274438,10.1036826864771
195,8.0546014338874,10.1052089787082
196,8.05753157534057,10.1066993485861
197,8.06041300924102,10.1081551455388
