t,LowKsLowRes,LowKsMedRes,LowKsHighRes,HighKsLowRes,HighKsMedRes,HighKsHighRes
28,1.1659192996781e-06,1.13815948624283e-06,0.694188623528411,1.16593210377026e-05,1.13816166947169e-05,1.11388251554499e-05
29,1.16591928573228e-06,1.13815948341969e-06,0.759818797778278,1.16593497732763e-05,1.13816179176324e-05,2.86600381193496e-05
30,1.16591927187543e-06,0.000334790255428898,0.828183463445774,1.16593829820251e-05,1.13816191657622e-05,0.000175362764409678
31,1.16591925809597e-06,0.00606727086427633,0.899254083412993,1.16594211803289e-05,1.13816204437723e-05,0.000617218376712607
32,1.16591924441544e-06,0.0187285616682272,0.973002058974197,1.16594649293635e-05,1.13816217577733e-05,0.00148512288183018
33,1.16591923083874e-06,0.0366820120475665,1.0493984681159,1.16595148376519e-05,1.1381623114703e-05,0.00288613169061574
34,1.1659192173687e-06,0.0592355359451194,1.12841375675032,1.16595715646393e-05,1.13816245241141e-05,0.00491069650957522
35,1.16591920401785e-06,0.0859741513667325,1.21001739087153,1.16596358234783e-05,1.13816259963695e-05,0.0076365820708242
36,1.16591919079657e-06,0.116609353687676,1.29417747767126,1.16597083849316e-05,1.13816275445784e-05,0.0111314120834737
37,1.16591917769801e-06,0.150924335086514,1.38086036286623,1.16597900806692e-05,1.13816291839534e-05,0.0154544811608754
38,1.16591916476365e-06,0.188747955251604,1.47003021032148,1.16598818074036e-05,1.138163093316e-05,0.0206581156376394
39,1.16591915200141e-06,0.229940424822725,1.56164856926486,1.16599845310631e-05,1.13816328133936e-05,0.0267887324426026
40,1.16591913942234e-06,0.274384640254771,1.65567393422688,1.16600992911436e-05,1.13816348499303e-05,0.0338876839883978
41,1.16591912703304e-06,0.321980566695681,1.75206130290504,1.16602272053241e-05,1.13816370723603e-05,0.0419919450854775
42,1.16591911485437e-06,0.372641400848673,1.85076173773481,1.1660369474765e-05,1.13816395150669e-05,0.0511346796195742
43,1.1659191028993e-06,0.426290836544872,1.95172193773616,1.1660527389343e-05,1.13816422180396e-05,0.0613457135995139
44,1.16591909121981e-06,0.482861044616752,2.05488382804906,1.16607023333893e-05,1.13816452277559e-05,0.072651933899247
45,1.16591907976372e-06,0.542291131353588,2.16018417531675,1.16608957920788e-05,1.13816485980776e-05,0.0850776271225429
46,1.16591906862417e-06,0.604525925195412,2.26755423760066,1.16611093576253e-05,1.1381652390499e-05,0.098644769584544
47,1.16591905779176e-06,0.669514991855476,2.37691945773191,1.16613447369454e-05,1.13816566769101e-05,0.113373276925728
48,1.16591904730039e-06,0.737211809217269,2.48819920887892,1.16616037587714e-05,1.13816615393522e-05,0.129281220039706
49,1.16591903718476e-06,0.807573053371571,2.60130660063009,1.16618883822491e-05,1.13816670716222e-05,0.146385012608978
50,1.16591902746229e-06,0.880557960541378,2.71614835307235,1.16622007056497e-05,1.13816733822725e-05,0.164699574473022
51,1.16591901814811e-06,0.95612773895873,2.8326247452299,1.16625429759815e-05,1.13816805941262e-05,0.184238474185066
52,1.16591900932123e-06,1.03424501152491,2.95062964286261,1.16629175993366e-05,2.40878999576692e-05,0.205014053551662
53,1.16591900100445e-06,1.11487327522581,3.07005060903026,1.16633271521347e-05,0.000130788712002526,0.227037536292241
54,1.16591899322723e-06,1.1979763673518,3.19076909929883,1.16637743932893e-05,0.00045726764057175,0.250319122486105
55,1.16591898603909e-06,1.28351793193962,3.31266074153434,1.16642622774601e-05,0.00113276636503634,0.27486807025076
56,1.16591897948629e-06,1.37146088272683,3.43559569845404,1.16647939694448e-05,0.00227943379627644,0.300692765695602
57,1.16591897363071e-06,1.46176686141522,3.55943910958939,1.1665372860096e-05,0.00400792617500634,0.327800781961608
58,2.56406769741422e-05,1.55439569225258,3.68405160754901,1.16660025832876e-05,0.00641574844785829,0.356198927948248
59,0.00405432431140078,1.64930483589211,3.80928990202448,1.16666870351374e-05,0.0095871114179473,0.385893287155431
60,0.0170516851913537,1.74644884718995,3.93500742367692,1.16674303946776e-05,0.0135936899478491,0.416889246927908
61,0.0368781307750817,1.84577884304517,4.06105501894255,1.16682371462889e-05,0.0184958960642177,0.449191518279319
